,img_url,product_name,price,city,location,rating,url,quantity_sold,shop_name
3435,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2022/10/1/f4e0ceb5-ea7d-4fc7-8a0c-bb6d1ae742e8.jpg,IH839 Ashitaki Mi Creamy Sauce 85 gr,86000,Yogyakarta,Yogyakarta,0,,0,della 19
3436,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2022/8/2/49f31918-fe22-49ef-9505-7d1f23174243.jpg,Mi Rebus Rasa Soto Ashitaki 69.5 g,64000,Jakarta Selatan,Jakarta Selatan,0,,0,Toko Cinq
3437,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2022/8/2/286288c4-941a-4046-bfd0-45e879b683d5.jpg,w2fit Ashitaki Mi Goreng Rendang Shirataki Diet Rendah Kalori HALAL,63000,Jakarta Selatan,Jakarta Selatan,0,,0,Toko Cinq
3438,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2022/8/2/f90ce671-4835-4dad-bdf0-6085cd814dce.jpg,Ashitaki Mie Goreng Low Calori - Veggie Bulgogi,63000,Jakarta Selatan,Jakarta Selatan,0,,0,Toko Cinq
3439,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2022/8/2/8dae20a1-09cb-4e27-ab16-7af6b886f00f.jpg,ASHITAKI Mie Goreng original Jepang Rebus Soto Ashitaba Shirataki,64000,Jakarta Selatan,Jakarta Selatan,0,,0,Toko Cinq
3440,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/11/25/d46a19fb-00d0-4b05-9582-4d4d31ff66cf.png,Promo Special Ashitaki Mie Bulgogi Ashitaki Creamy Latte Coklat Murah,37500,Tangerang Selatan,Tangerang Selatan,0,,0,Indonesian Supermart
3441,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/11/26/d932dff8-c928-49ca-97c4-edeb63bc71f3.jpg,Ori Ashitaki - Mie Shirataki Diet Sehat | Shirataki Noodle Mie Instant,27745,Bandung,Bandung,0,,0,Lefyana Jaya
3442,https://images.tokopedia.net/img/cache/200-square/product-1/2020/4/10/batch-upload/batch-upload_14c91060-c738-4010-82db-f389fd251189,JUAL Ashitaki Low Carb Noodles 75 Gr,48700,Jakarta Utara,Jakarta Utara,0,,0,oni_shop1
3443,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/5/16/28730ffe-a9b1-4e29-b639-9a7868851340.jpg,ashitaki mie goreng original,28000,Jakarta Barat,Jakarta Barat,0,,0,FJRAH
3444,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/6/13/4621c944-0253-4060-bd28-01d006744bcb.jpg,Ashitaki Mi Goreng Original (75gr),45200,Jakarta Timur,Jakarta Timur,0,,0,darahtashop
3445,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/8/26/0da4fca1-f79b-4085-b663-f42b3a699aba.jpg,READY!!! ASHITAKI MIE SHIRATAKI DIET SEHAT | SHIRATAKI NOODLE MIE,31000,Kab. Bogor,Kab. Bogor,0,,0,udinsetiawan shoop
3446,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/13/7b24e5bb-8cf8-4d02-b778-411bd5775bb7.jpg,PROMO ASHITAKI / ASHITABA DAN SHIRATAKI / MIE INSTAN GORENG JEPANG,32000,Jakarta Pusat,Jakarta Pusat,0,,0,Diana-Shops
3447,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2021/8/23/6128cb0d-873b-4d93-bf9a-9a90ac60184c.jpg,*PCR* Ashitaki Mi Goreng Ala Jepang 68gr (Mie Rendah,114000,Jakarta Timur,Jakarta Timur,0,,0,PACHIRA1
3448,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2021/12/7/b2e31ed1-e0f1-440d-baf1-f0bb4ac6e4da.jpg,Ashitaki Mi goreng Veggie Original Mie Instant,42000,Jakarta Selatan,Jakarta Selatan,0,,0,zaidan store01
3449,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2022/8/15/f4a37afa-050f-43b1-a690-0857538a4e3c.jpg,Ashitaki Mi Goreng Rendang,27000,Jakarta Barat,Jakarta Barat,0,,0,faizanhibrizi
3450,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2022/11/4/629ec471-5cdc-418f-b225-f89f872195c2.jpg,[Dijual] ASHITAKI MIE SHIRATAKI DIET SEHAT | SHIRATAKI NOODLE MIE,30000,Kab. Bandung,Kab. Bandung,0,,0,nendiul
3451,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/12/20/07753c58-35bf-4a9f-8dd2-4ff88cfa0322.jpg,READY ASHITAKI MI NEW – MIX VARIANTS 3 PCS TERLARIS,94000,Kab. Bandung,Kab. Bandung,0,,0,Toko ubel
3452,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,hoot sale Ashitaki Ashitaba Shirataki Mi Goreng Jepang Konnyaku Diet,29000,Jakarta Pusat,Jakarta Pusat,0,,0,nandastore05
3453,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,Ashitaki Mie Tomyum - Mie Rendah Kalori mie shirataki mie instan,20500,Jakarta Pusat,Jakarta Pusat,0,,0,Newtinlife's
3454,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,Mie Sehat Asitaki Ashitaki Mie Goreng Original Low Carb Noodles,29900,Jakarta Barat,Jakarta Barat,0,,3,sachurator shop
3455,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,Ashitaki - Mi Goreng Original 68gr - Mie Tanpa Pengawet SEHAT,24000,Jakarta Selatan,Jakarta Selatan,0,,0,DWINA EXCLUSIVE MALL
3456,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,ashitaki mie rebus soto ala jepang,23900,Tangerang Selatan,Tangerang Selatan,0,,0,Rakanantashop
3457,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,Mie Ashitaki Rendah Kalori Diet Sehat,26000,Jakarta Barat,Jakarta Barat,0,,0,bayuadi21
3458,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,Mie Bulgogi ASHITAKI 76gr/ Mie diet/ SHIRATAKI Mie/ Makanan diet,19000,Surabaya,Surabaya,0,,0,Grandlucky Onlineshop
3459,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,Ashitaki Mie Shirataki Diet Sehat | Shirataki Noodle Mie Instan,41000,Jakarta Selatan,Jakarta Selatan,0,,0,toko imam_1
3460,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,Ashitaki Mi Rebus Soto 1 DUS ISI 12PCS 12x695gr Berkualitas,302000,Jakarta Barat,Jakarta Barat,0,,0,azystoree
3461,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,SALM Ashitaki Mie Bulgugi Veggie 76 Gr,36000,Surakarta,Surakarta,0,,0,salmaaufa
3462,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,New 1 Dus Isi 12Pcs Ashitaki Mi Goreng Original,318000,Denpasar,Denpasar,0,,0,Veny Mart
3463,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,Dijual 1 DUS isi 12pcs Ashitaki Mi Goreng Original terlaris,330095,Semarang,Semarang,0,,0,makuys
3464,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,Ashitaki Mi Goreng Jepang 1 DUS ISI 12PCS (12x68gr),353000,Jakarta Barat,Jakarta Barat,0,,0,ramdhanstoreeeee
3465,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,Ashitaki Mi Goreng Kari Pedas 75gr (Mie Rendah Kalori),31000,Kab. Semarang,Kab. Semarang,0,,0,Gafaraja St
3466,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,mie Ashitaki Box rendah kalori isi 12,360000,Surabaya,Surabaya,0,,0,louisvitore
3467,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,ASHITAKI Mi Goreng Original - Diet Keto Non MSG,66000,Depok,Depok,0,,0,ghayda farhin
3468,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,Ashitaki Mi Goreng Kari pedas,29000,Jakarta Utara,Jakarta Utara,0,,0,Bintangstore_8
3469,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,ashitaki mie goreng original 68gr,28500,Tangerang,Tangerang,0,,0,jaya_berkat
3470,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,Ashitaki - Mi Goreng Jepang 1 Dus (12 x 68gr) - Mie Diet,274500,Kab. Bekasi,Kab. Bekasi,0,,0,tokaycuka28
3471,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,1 DUS Ashitaki Mi Rebus Soto,298500,Kab. Bekasi,Kab. Bekasi,0,,0,tokaycuka28
3472,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,DISKON Ashitaki - Mi Rebus Soto 75gr - Mie Rendah Kalori,42300,Jakarta Timur,Jakarta Timur,0,,0,fina fina fina
3473,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,Ashitaki Mie Rebus Low Calori - Kari Pedas,32000,Jakarta Selatan,Jakarta Selatan,0,,0,Mhoheh
3474,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,Ashitaki Mie Shirataki 3 varian rasa Mi Goreng Goreng Jepang Rebus Sot,64000,Jakarta Timur,Jakarta Timur,0,,0,sapabook ol
3475,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,ready Ashitaki MI Goreng Ala Jepang 68gr stock,24640,Jakarta Pusat,Jakarta Pusat,0,,0,CaseSmile
3476,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,Ashitaki Mi Goreng Ala Jepang | Noodle Shirataki | Porang,18450,Kab. Bogor,Kab. Bogor,0,,0,Grosir Porang - Bogor
3477,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,W2Fit Ashitaki Ashitaba & Shirataki Mi Creamy Sauce - 85 G,30000,Jakarta Barat,Jakarta Barat,0,,0,hikmahselaluu
3478,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,NDV ASHITAKI MIE SHIRATAKI DIET SEHAT | SHIRATAKI NOODLE MIE INSTAN,28900,Jakarta Barat,Jakarta Barat,0,,0,shutri store
3479,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,[TERMURAH] Ashitaki mie kuah soto mie rendah kalori,28000,Jakarta Barat,Jakarta Barat,0,,0,david_simmsl
3480,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,(T)erpopule(R) Ashitaki - Ashitaba & Shirataki Mie Instan Rendah,26000,Jakarta Utara,Jakarta Utara,0,,0,hamilton665
3481,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,"(0_0) Ashitaki Mie Rebus Low Calori - Tomyum (""_"")",28000,Bekasi,Bekasi,0,,0,Bulebulshop90
3482,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,"(0_0) Ashitaki Mie Kari Pedas 75,6 Gr - Mie Bebas Pengawet - Mie Diet",51000,Jakarta Pusat,Jakarta Pusat,0,,0,abdul_rachmannn
3483,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,Garansi Ashitaki Mi Goreng Original 1 Dus Isi 12Pcs (12X75Gr) Terlaris,353000,Jakarta Barat,Jakarta Barat,0,,0,qppiestore
3484,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,Ashitaki Mi Goreng Original (75Gr),50250,Surabaya,Surabaya,0,,0,Agustink_market
3485,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,Paket Ashitaki Mi Diet Senisehat,87840,Jakarta Pusat,Jakarta Pusat,0,,0,BALEBAT MART
3486,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,Ashitaki mi goreng original 75 gram,35500,Jakarta Barat,Jakarta Barat,0,,0,awan-shop
3487,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,Ashitaki - Mi Goreng Jepang 1 Dus (12 x 68gr) - Mie Diet,314000,Makassar,Makassar,0,,0,berlin shop84
3488,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,Dijual 1 Dus Ashitaki Mi Rebus Soto Terlaris,346000,Jakarta Utara,Jakarta Utara,0,,0,Raflidika Store
3489,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,Ashitaki Mi Goreng Jepang 1 DUS ISI 12PCS (12x68gr),337000,Jakarta Pusat,Jakarta Pusat,0,,0,tinashop00
3490,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,Ashitaki - Mi Goreng Ala Jepang 69 gr - Mie Rendah Kalori,38000,Jakarta Barat,Jakarta Barat,0,,0,Koniciaw
3491,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,Ashitaki Mi Goreng Veggie Bulgogi (67gr),34000,Jakarta Barat,Jakarta Barat,0,,0,Koniciaw
3492,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/8/12/025b859f-1c16-4553-a76f-72fd488289f7.jpg,"GAGA 100 Extra Pedas Goreng Jalapeno 5pcs, Lada Hitam 5pcs (GGA)",32997,Jakarta Selatan,Jakarta Selatan,4.8,Ad,250,Gaga Official Store
3493,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/7/21/e60d4f88-f238-45ab-b327-da58ab3a730c.jpg,Ashitaki Shirataki Noodle Mie Instant Sehat Rendah Kalori - Kari Pedas,19602,Jakarta Barat,Jakarta Barat,0,Ad,0,Grand Market Store
